epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,559.478,0.9804,0.44517,0.00906,0.92946,0.72326,0.85384,0.44349,1.15887,0.43295,0.01232,0.000458,0.000458,0.000458
66,567.979,0.9796,0.44481,0.00933,0.95993,0.71358,0.7438,0.40336,1.18251,0.4318,0.01236,0.000445625,0.000445625,0.000445625
67,576.148,0.97742,0.42402,0.00911,0.93696,0.72326,0.73244,0.40817,1.14324,0.47045,0.0117,0.00043325,0.00043325,0.00043325
68,584.849,0.94211,0.42496,0.00868,0.95656,0.7239,0.74187,0.41611,1.13558,0.40214,0.01188,0.000420875,0.000420875,0.000420875
69,592.92,0.93448,0.4241,0.00924,0.96086,0.72068,0.74296,0.41691,1.14864,0.43244,0.01223,0.0004085,0.0004085,0.0004085
70,601.056,0.91792,0.42596,0.00897,0.88552,0.7253,0.73942,0.41327,1.15666,0.49819,0.01248,0.000396125,0.000396125,0.000396125
71,609.213,0.94725,0.39469,0.00967,0.68426,0.72531,0.60884,0.37475,1.1532,0.4773,0.01247,0.00038375,0.00038375,0.00038375
72,617.229,0.96877,0.44452,0.00934,0.92143,0.72121,0.73301,0.41114,1.1288,0.42529,0.01146,0.000371375,0.000371375,0.000371375
73,625.522,0.90908,0.40943,0.00868,0.89737,0.71291,0.73724,0.39777,1.14507,0.42415,0.01189,0.000359,0.000359,0.000359
74,633.711,0.94832,0.42002,0.00873,0.82037,0.71906,0.74207,0.394,1.16484,0.44401,0.01246,0.000346625,0.000346625,0.000346625
75,641.581,0.90832,0.40966,0.00867,0.90497,0.71916,0.75106,0.38634,1.17915,0.43568,0.01245,0.00033425,0.00033425,0.00033425
76,649.323,0.94566,0.40152,0.00868,0.81393,0.72128,0.73461,0.4166,1.1274,0.45203,0.01161,0.000321875,0.000321875,0.000321875
77,656.927,0.92311,0.39226,0.00866,0.92296,0.71906,0.73591,0.42066,1.14606,0.4365,0.01222,0.0003095,0.0003095,0.0003095
78,664.648,0.91699,0.39792,0.00898,0.92771,0.72413,0.75011,0.41826,1.17156,0.4295,0.01252,0.000297125,0.000297125,0.000297125
79,672.57,0.92143,0.41134,0.00859,0.97629,0.70109,0.7898,0.42483,1.15039,0.43629,0.01235,0.00028475,0.00028475,0.00028475
80,680.809,0.92476,0.40681,0.0084,0.96077,0.70891,0.74464,0.4178,1.14749,0.45295,0.01251,0.000272375,0.000272375,0.000272375
81,688.797,0.93925,0.41779,0.00849,0.96802,0.70461,0.74043,0.41738,1.08873,0.44453,0.01126,0.00026,0.00026,0.00026
82,696.76,0.90666,0.40503,0.0088,0.97367,0.70816,0.7415,0.42001,1.10729,0.43586,0.01125,0.000247625,0.000247625,0.000247625
83,704.721,0.89635,0.39018,0.0086,0.97134,0.69046,0.77053,0.40445,1.11437,0.45004,0.01139,0.00023525,0.00023525,0.00023525
84,712.719,0.87047,0.40846,0.00842,0.96872,0.69903,0.78854,0.42973,1.13913,0.48808,0.01198,0.000222875,0.000222875,0.000222875
85,720.39,0.89947,0.3772,0.00819,0.96362,0.70395,0.77106,0.43169,1.12217,0.42368,0.01154,0.0002105,0.0002105,0.0002105
86,728.111,0.89299,0.41254,0.00875,0.96379,0.69098,0.75753,0.42412,1.1518,0.42932,0.0118,0.000198125,0.000198125,0.000198125
87,736.131,0.91036,0.38877,0.00854,0.97317,0.69694,0.74991,0.42299,1.13735,0.42728,0.01187,0.00018575,0.00018575,0.00018575
88,744.159,0.90117,0.41611,0.00803,0.96426,0.70095,0.74642,0.42128,1.13578,0.44487,0.01159,0.000173375,0.000173375,0.000173375
89,751.966,0.90179,0.39727,0.00859,0.96853,0.70975,0.74712,0.4171,1.13619,0.4848,0.01173,0.000161,0.000161,0.000161
90,759.845,0.88251,0.3868,0.00813,0.96179,0.70471,0.76457,0.42536,1.15747,0.50065,0.01207,0.000148625,0.000148625,0.000148625
91,769.285,0.88847,0.35596,0.0102,0.98075,0.692,0.74763,0.41883,1.16552,0.45203,0.01239,0.00013625,0.00013625,0.00013625
92,777.18,0.88046,0.35264,0.01029,0.98068,0.6918,0.7422,0.41842,1.16308,0.43221,0.01221,0.000123875,0.000123875,0.000123875
93,784.958,0.88169,0.36384,0.01022,0.97797,0.69584,0.74128,0.41805,1.14534,0.45584,0.0118,0.0001115,0.0001115,0.0001115
94,792.61,0.88985,0.35442,0.01031,0.97449,0.69537,0.74149,0.41126,1.16533,0.47333,0.01228,9.9125e-05,9.9125e-05,9.9125e-05
95,800.579,0.87517,0.36366,0.00963,0.97853,0.7019,0.74105,0.41811,1.13425,0.47661,0.01173,8.675e-05,8.675e-05,8.675e-05
96,808.32,0.88636,0.37067,0.00992,0.97117,0.69325,0.74019,0.41436,1.14239,0.49389,0.01201,7.4375e-05,7.4375e-05,7.4375e-05
97,816.093,0.85935,0.34006,0.00983,0.97242,0.69641,0.73978,0.41592,1.13949,0.48103,0.01183,6.2e-05,6.2e-05,6.2e-05
98,823.519,0.84182,0.3553,0.00995,0.97024,0.69444,0.73918,0.41388,1.13073,0.49243,0.01156,4.9625e-05,4.9625e-05,4.9625e-05
99,831.665,0.84497,0.35155,0.00956,0.97052,0.68922,0.73865,0.41215,1.1326,0.48781,0.01155,3.725e-05,3.725e-05,3.725e-05
100,839.467,0.85812,0.33999,0.00973,0.97091,0.6929,0.73936,0.41443,1.12151,0.49146,0.01141,2.4875e-05,2.4875e-05,2.4875e-05
