epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,531.309,0.99708,0.44238,0.00974,0.87043,0.89671,0.92019,0.59545,1.16279,0.40343,0.01223,0.000557,0.000557,0.000557
58,538.905,0.97943,0.41617,0.00938,0.98164,0.81296,0.91621,0.60616,1.12846,0.50207,0.01229,0.000544625,0.000544625,0.000544625
59,546.835,1.00369,0.4228,0.00966,0.93819,0.84787,0.90771,0.60907,1.08879,0.44812,0.01135,0.00053225,0.00053225,0.00053225
60,554.603,1.00549,0.43436,0.00956,0.93902,0.86509,0.92173,0.59633,1.15316,0.41035,0.01208,0.000519875,0.000519875,0.000519875
61,561.998,0.99657,0.43363,0.00998,0.89518,0.90087,0.92106,0.60489,1.10225,0.4368,0.01135,0.0005075,0.0005075,0.0005075
62,569.459,1.02011,0.45995,0.00934,0.89825,0.89893,0.91674,0.61057,1.12307,0.41553,0.01179,0.000495125,0.000495125,0.000495125
63,577.17,0.99972,0.41735,0.00959,0.91912,0.87089,0.90071,0.59253,1.12873,0.43689,0.01173,0.00048275,0.00048275,0.00048275
64,584.77,0.98084,0.43671,0.00936,0.92185,0.88172,0.91611,0.5916,1.15956,0.4533,0.0124,0.000470375,0.000470375,0.000470375
65,592.24,0.99176,0.43538,0.00938,0.9509,0.84888,0.92273,0.60473,1.14902,0.46617,0.01224,0.000458,0.000458,0.000458
66,599.776,0.98243,0.43151,0.0094,0.9009,0.90437,0.92423,0.58172,1.20682,0.4453,0.01314,0.000445625,0.000445625,0.000445625
67,607.584,0.97169,0.41799,0.009,0.89212,0.89972,0.9224,0.59708,1.17027,0.43633,0.01223,0.00043325,0.00043325,0.00043325
68,615.019,0.95758,0.41109,0.00877,0.92011,0.90343,0.92581,0.5928,1.14357,0.42795,0.01233,0.000420875,0.000420875,0.000420875
69,622.493,0.95535,0.41392,0.00929,0.90329,0.9015,0.92839,0.59255,1.18187,0.49584,0.0128,0.0004085,0.0004085,0.0004085
70,629.85,0.93212,0.40491,0.00894,0.91528,0.88264,0.91529,0.59845,1.16011,0.52611,0.01226,0.000396125,0.000396125,0.000396125
71,637.664,0.95495,0.39808,0.00975,0.89128,0.9123,0.92554,0.60113,1.18574,0.43139,0.01281,0.00038375,0.00038375,0.00038375
72,645.009,0.97742,0.42612,0.00936,0.89948,0.90745,0.91606,0.6003,1.16832,0.44781,0.01206,0.000371375,0.000371375,0.000371375
73,652.431,0.94598,0.4015,0.00895,0.92657,0.90316,0.92548,0.60433,1.14679,0.43371,0.01188,0.000359,0.000359,0.000359
74,659.916,0.9514,0.41133,0.00867,0.91085,0.90323,0.91376,0.59924,1.11527,0.41179,0.01142,0.000346625,0.000346625,0.000346625
75,667.778,0.92902,0.40079,0.00866,0.93485,0.89978,0.92875,0.5853,1.1733,0.40938,0.0125,0.00033425,0.00033425,0.00033425
76,675.34,0.94803,0.40608,0.00857,0.90636,0.90323,0.91549,0.59887,1.15253,0.40874,0.01179,0.000321875,0.000321875,0.000321875
77,683.262,0.91832,0.39684,0.0088,0.90899,0.90729,0.91558,0.60299,1.13458,0.40326,0.01189,0.0003095,0.0003095,0.0003095
78,690.725,0.92644,0.39634,0.009,0.9461,0.88725,0.93235,0.59845,1.16173,0.40038,0.01191,0.000297125,0.000297125,0.000297125
79,698.689,0.92061,0.383,0.00858,0.93907,0.92723,0.93929,0.59687,1.14616,0.43196,0.0125,0.00028475,0.00028475,0.00028475
