epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,421.16,1.09433,0.54465,0.01038,0.98377,0.43486,0.45813,0.33741,1.26098,0.66631,0.01373,0.000594125,0.000594125,0.000594125
55,428.681,1.06894,0.5403,0.01026,0.98763,0.43272,0.46187,0.3492,1.24574,0.66993,0.01333,0.00058175,0.00058175,0.00058175
56,435.922,1.07781,0.58493,0.0103,0.97582,0.4395,0.46091,0.34105,1.25675,0.67115,0.01393,0.000569375,0.000569375,0.000569375
57,443.104,1.07256,0.56939,0.01051,0.98825,0.4388,0.46301,0.34922,1.25262,0.65655,0.01404,0.000557,0.000557,0.000557
58,450.638,1.02671,0.5334,0.01044,0.98607,0.43724,0.46026,0.34541,1.24196,0.67056,0.01357,0.000544625,0.000544625,0.000544625
59,457.795,1.05366,0.5405,0.01042,0.98919,0.44334,0.45914,0.34661,1.25625,0.62432,0.01375,0.00053225,0.00053225,0.00053225
60,465.231,1.07991,0.54205,0.01032,0.98455,0.43029,0.46224,0.34192,1.25547,0.65676,0.01369,0.000519875,0.000519875,0.000519875
61,472.738,1.03469,0.50089,0.01054,0.97117,0.44758,0.46335,0.34416,1.27577,0.66919,0.01365,0.0005075,0.0005075,0.0005075
62,480.375,1.06426,0.54329,0.01006,0.97938,0.43324,0.46013,0.33565,1.29913,0.63,0.01386,0.000495125,0.000495125,0.000495125
63,487.671,1.00468,0.51391,0.01021,0.9912,0.43238,0.4611,0.34973,1.20785,0.64026,0.0128,0.00048275,0.00048275,0.00048275
64,494.881,1.02974,0.50619,0.00994,0.98764,0.42022,0.45705,0.33823,1.21597,0.68028,0.01337,0.000470375,0.000470375,0.000470375
65,502.099,1.03134,0.50944,0.00971,0.99068,0.43273,0.46193,0.33231,1.29963,0.65679,0.01424,0.000458,0.000458,0.000458
66,509.74,1.05135,0.47433,0.0104,0.98173,0.44495,0.46348,0.35346,1.17758,0.64078,0.01272,0.000445625,0.000445625,0.000445625
67,517.039,0.99432,0.47659,0.00941,0.9873,0.44063,0.46055,0.34961,1.23023,0.64257,0.01276,0.00043325,0.00043325,0.00043325
68,524.142,1.05764,0.52782,0.00988,0.9789,0.4413,0.46139,0.34493,1.26242,0.65411,0.01416,0.000420875,0.000420875,0.000420875
69,531.25,1.00514,0.48106,0.01021,0.98157,0.43916,0.46059,0.34165,1.23823,0.66912,0.01348,0.0004085,0.0004085,0.0004085
70,538.763,0.99038,0.46548,0.00986,0.98246,0.44031,0.45702,0.34929,1.23426,0.65278,0.01369,0.000396125,0.000396125,0.000396125
71,545.869,1.01729,0.49259,0.00988,0.97719,0.44334,0.46011,0.34748,1.24833,0.67147,0.0134,0.00038375,0.00038375,0.00038375
72,552.8,0.97735,0.47094,0.00957,0.97632,0.43483,0.45708,0.34616,1.25075,0.65088,0.01337,0.000371375,0.000371375,0.000371375
73,559.782,1.00788,0.45867,0.00955,0.97629,0.4461,0.46098,0.35273,1.20172,0.64277,0.01263,0.000359,0.000359,0.000359
74,566.68,1.01038,0.48676,0.00955,0.99186,0.42615,0.45665,0.34722,1.22758,0.64777,0.01277,0.000346625,0.000346625,0.000346625
75,573.892,0.98888,0.45919,0.00961,0.98856,0.44595,0.46158,0.34234,1.29864,0.64132,0.01455,0.00033425,0.00033425,0.00033425
76,580.768,1.0086,0.47517,0.00963,0.98352,0.44309,0.46232,0.34997,1.2183,0.65187,0.01292,0.000321875,0.000321875,0.000321875
77,587.713,0.97456,0.45156,0.00919,0.97425,0.446,0.46069,0.3469,1.22974,0.63558,0.01306,0.0003095,0.0003095,0.0003095
78,594.455,0.99974,0.45444,0.00983,0.99045,0.4496,0.46276,0.34191,1.27584,0.62979,0.0139,0.000297125,0.000297125,0.000297125
79,601.68,1.00028,0.47872,0.00953,0.99256,0.45018,0.46449,0.34656,1.20567,0.63439,0.01256,0.00028475,0.00028475,0.00028475
80,608.555,0.98435,0.47438,0.00934,0.98393,0.44169,0.46205,0.34675,1.22643,0.63668,0.01282,0.000272375,0.000272375,0.000272375
81,615.158,0.96962,0.47612,0.0091,0.98734,0.43928,0.46126,0.34838,1.22321,0.64311,0.01307,0.00026,0.00026,0.00026
82,621.919,0.9659,0.44587,0.00966,0.98402,0.44949,0.46072,0.34702,1.21416,0.63648,0.01312,0.000247625,0.000247625,0.000247625
83,628.792,0.98416,0.44146,0.00893,0.98209,0.4459,0.46191,0.3474,1.23158,0.62911,0.01324,0.00023525,0.00023525,0.00023525
84,635.463,0.95275,0.43762,0.00935,0.97926,0.44324,0.46186,0.3469,1.20811,0.63993,0.01286,0.000222875,0.000222875,0.000222875
85,642.072,0.96291,0.45336,0.00927,0.98767,0.4426,0.46202,0.34615,1.23903,0.63583,0.01321,0.0002105,0.0002105,0.0002105
86,648.824,0.96672,0.42546,0.00923,0.98169,0.44638,0.463,0.34886,1.21142,0.64295,0.01291,0.000198125,0.000198125,0.000198125
87,655.464,0.97188,0.45086,0.00927,0.98952,0.44608,0.45963,0.3473,1.21145,0.64342,0.01305,0.00018575,0.00018575,0.00018575
88,662.497,1.01235,0.46017,0.00888,0.98737,0.44736,0.46217,0.35182,1.18381,0.63337,0.01255,0.000173375,0.000173375,0.000173375
89,669.522,0.99426,0.44595,0.01003,0.98892,0.44956,0.46157,0.34246,1.23967,0.66184,0.01385,0.000161,0.000161,0.000161
